cycle_id,sampled_at,average_weight,ABWt-ABW0,ht-h0,ADG
4238.0,2020-06-12,9.98,2.710000000000001,7.0,0.3871428571428573
4238.0,2020-06-19,11.57,1.5899999999999999,7.0,0.22714285714285712
4238.0,2020-06-26,14.58,3.01,7.0,0.43
4238.0,2020-07-03,18.29,3.709999999999999,7.0,0.5299999999999999
4238.0,2020-07-10,22.4,4.109999999999999,7.0,0.5871428571428571
4238.0,2020-07-17,24.45,2.0500000000000007,7.0,0.292857142857143
4238.0,2020-07-24,24.6,0.15000000000000213,7.0,0.021428571428571734
4238.0,2020-07-31,28.72,4.119999999999997,7.0,0.5885714285714282
4238.0,2020-08-07,30.68,1.9600000000000009,7.0,0.28000000000000014
4239.0,2020-05-29,4.6,4.6,34.0,0.13529411764705881
4239.0,2020-06-05,6.2,1.6000000000000005,7.0,0.22857142857142865
4239.0,2020-06-12,8.57,2.37,7.0,0.3385714285714286
4239.0,2020-06-19,11.57,3.0,7.0,0.42857142857142855
4239.0,2020-06-26,12.99,1.42,7.0,0.20285714285714285
4239.0,2020-07-03,15.09,2.0999999999999996,7.0,0.29999999999999993
4239.0,2020-07-10,17.53,2.4400000000000013,7.0,0.34857142857142875
4239.0,2020-07-17,19.65,2.1199999999999974,7.0,0.3028571428571425
4239.0,2020-07-24,21.62,1.9700000000000024,7.0,0.28142857142857175
4239.0,2020-07-31,22.27,0.6499999999999986,7.0,0.09285714285714265
4239.0,2020-08-07,24.24,1.9699999999999989,7.0,0.28142857142857125
4241.0,2020-05-29,4.4,4.4,34.0,0.12941176470588237
4241.0,2020-06-05,5.68,1.2799999999999994,7.0,0.18285714285714277
4241.0,2020-06-12,8.46,2.780000000000001,7.0,0.3971428571428573
4241.0,2020-06-19,11.07,2.6099999999999994,7.0,0.3728571428571428
4241.0,2020-06-26,14.9,3.83,7.0,0.5471428571428572
4241.0,2020-07-03,16.07,1.17,7.0,0.16714285714285712
4241.0,2020-07-10,17.97,1.8999999999999986,7.0,0.27142857142857124
4241.0,2020-07-17,22.02,4.050000000000001,7.0,0.5785714285714286
4241.0,2020-07-24,22.6,0.5800000000000018,7.0,0.08285714285714312
4241.0,2020-07-31,25.76,3.16,7.0,0.45142857142857146
4241.0,2020-08-07,26.36,0.5999999999999979,7.0,0.08571428571428541
4253.0,2020-06-02,2.0,2.0,31.0,0.06451612903225806
4309.0,2020-06-19,8.6,8.6,45.0,0.1911111111111111
4309.0,2020-06-29,12.8,4.200000000000001,10.0,0.4200000000000001
4309.0,2020-07-04,15.6,2.799999999999999,5.0,0.5599999999999998
4309.0,2020-07-14,20.4,4.799999999999999,10.0,0.47999999999999987
4309.0,2020-07-20,23.0,2.6000000000000014,6.0,0.43333333333333357
4309.0,2020-07-24,25.0,2.0,4.0,0.5
4442.0,2020-05-27,6.9,6.9,53.0,0.13018867924528302
4442.0,2020-06-04,8.8,1.9000000000000004,8.0,0.23750000000000004
4442.0,2020-06-10,10.8,2.0,6.0,0.3333333333333333
4442.0,2020-06-18,13.1,2.299999999999999,8.0,0.28749999999999987
4442.0,2020-06-25,13.91,0.8100000000000005,7.0,0.11571428571428578
4442.0,2020-07-02,14.67,0.7599999999999998,7.0,0.10857142857142854
4442.0,2020-07-09,15.47,0.8000000000000007,7.0,0.1142857142857144
4446.0,2020-05-27,5.5,5.5,53.0,0.10377358490566038
4446.0,2020-06-04,6.8,1.2999999999999998,8.0,0.16249999999999998
4446.0,2020-06-10,8.27,1.4699999999999998,6.0,0.24499999999999997
4446.0,2020-06-25,10.0,1.7300000000000004,15.0,0.11533333333333336
4446.0,2020-07-09,12.0,2.0,14.0,0.14285714285714285
4491.0,2020-06-24,2.5,2.5,35.0,0.07142857142857142
4514.0,2020-07-08,4.5,4.5,40.0,0.1125
4514.0,2020-07-18,6.25,1.75,10.0,0.175
4515.0,2020-07-09,4.0,4.0,41.0,0.0975609756097561
4515.0,2020-07-18,5.0,1.0,9.0,0.1111111111111111
4551.0,2020-06-28,2.5,2.5,30.0,0.08333333333333333
4551.0,2020-07-08,3.4,0.8999999999999999,10.0,0.09
4551.0,2020-07-12,4.67,1.27,4.0,0.3175
4750.0,2020-08-01,5.08,5.08,41.0,0.12390243902439024
4750.0,2020-08-07,6.6,1.5199999999999996,6.0,0.25333333333333324
4750.0,2020-08-14,9.1,2.5,7.0,0.35714285714285715
4750.0,2020-08-21,10.6,1.5,7.0,0.21428571428571427
4750.0,2020-08-28,13.08,2.4800000000000004,7.0,0.35428571428571437
4750.0,2020-09-04,13.4,0.3200000000000003,7.0,0.045714285714285756
4750.0,2020-09-13,17.6,4.200000000000001,9.0,0.4666666666666668
4751.0,2020-08-01,4.16,4.16,41.0,0.10146341463414635
4751.0,2020-08-07,6.36,2.2,6.0,0.3666666666666667
4751.0,2020-08-14,9.6,3.2399999999999993,7.0,0.46285714285714274
4751.0,2020-08-21,10.5,0.9000000000000004,7.0,0.12857142857142861
4751.0,2020-08-28,12.96,2.460000000000001,7.0,0.35142857142857153
4751.0,2020-09-04,13.3,0.33999999999999986,7.0,0.04857142857142855
4751.0,2020-09-13,16.7,3.3999999999999986,9.0,0.3777777777777776
4887.0,2020-08-07,3.7,3.7,40.0,0.0925
4887.0,2020-08-24,8.5,4.8,17.0,0.2823529411764706
4896.0,2020-08-06,4.7,4.7,42.0,0.11190476190476191
4938.0,2020-07-30,1.7,1.7,25.0,0.068
4938.0,2020-08-04,3.0,1.3,5.0,0.26
4938.0,2020-08-09,4.0,1.0,5.0,0.2
4938.0,2020-08-16,4.3,0.2999999999999998,7.0,0.04285714285714283
4938.0,2020-08-19,5.3,1.0,3.0,0.3333333333333333
4946.0,2020-08-19,2.87,2.87,30.0,0.09566666666666666
4946.0,2020-08-29,5.7,2.83,10.0,0.28300000000000003
4946.0,2020-09-05,7.5,1.7999999999999998,7.0,0.2571428571428571
4946.0,2020-09-08,8.4,0.9000000000000004,3.0,0.3000000000000001
4946.0,2020-09-16,10.5,2.0999999999999996,8.0,0.26249999999999996
5222.0,2020-08-20,1.05,1.05,19.0,0.05526315789473685
5222.0,2020-08-24,1.5,0.44999999999999996,4.0,0.11249999999999999
5222.0,2020-08-28,2.2,0.7000000000000002,4.0,0.17500000000000004
5222.0,2020-08-31,3.1,0.8999999999999999,3.0,0.3
5222.0,2020-09-07,5.5,2.4,7.0,0.34285714285714286
5222.0,2020-09-14,7.8,2.3,7.0,0.32857142857142857
5222.0,2020-09-18,8.3,0.5000000000000009,4.0,0.12500000000000022
5222.0,2020-09-20,8.8,0.5,2.0,0.25
5222.0,2020-09-28,12.6,3.799999999999999,8.0,0.47499999999999987
5222.0,2020-10-02,14.7,2.0999999999999996,4.0,0.5249999999999999
5222.0,2020-10-05,15.0,0.3000000000000007,3.0,0.10000000000000024
5222.0,2020-10-09,16.1,1.1000000000000014,4.0,0.27500000000000036
5222.0,2020-10-14,16.8,0.6999999999999993,5.0,0.13999999999999985
5222.0,2020-10-19,19.4,2.599999999999998,5.0,0.5199999999999996
5222.0,2020-10-23,19.8,0.40000000000000213,4.0,0.10000000000000053
5222.0,2020-11-04,22.5,2.6999999999999993,12.0,0.22499999999999995
5222.0,2020-11-07,23.0,0.5,3.0,0.16666666666666666
5222.0,2020-11-11,25.1,2.1000000000000014,4.0,0.5250000000000004
5222.0,2020-11-13,24.3,0.0,2.0,0.0
5222.0,2020-11-16,26.0,1.6999999999999993,3.0,0.5666666666666664
5222.0,2020-11-23,30.0,4.0,7.0,0.5714285714285714
5222.0,2020-11-25,32.0,2.0,2.0,1.0
5222.0,2020-11-27,30.6,0.0,2.0,0.0
5222.0,2020-12-09,32.1,1.5,12.0,0.125
5222.0,2020-12-12,34.0,1.8999999999999986,3.0,0.6333333333333329
5223.0,2020-08-20,0.83,0.83,19.0,0.04368421052631579
5223.0,2020-08-24,1.4,0.57,4.0,0.1425
5223.0,2020-08-28,2.4,1.0,4.0,0.25
5223.0,2020-08-31,3.0,0.6000000000000001,3.0,0.20000000000000004
5223.0,2020-09-07,5.3,2.3,7.0,0.32857142857142857
5223.0,2020-09-14,7.1,1.7999999999999998,7.0,0.2571428571428571
5223.0,2020-09-20,7.9,0.8000000000000007,6.0,0.13333333333333344
5223.0,2020-09-28,11.6,3.6999999999999993,8.0,0.4624999999999999
5223.0,2020-10-02,13.4,1.8000000000000007,4.0,0.4500000000000002
5223.0,2020-10-05,13.0,0.0,3.0,0.0
5223.0,2020-10-19,16.2,3.1999999999999993,14.0,0.2285714285714285
5223.0,2020-10-23,16.5,0.3000000000000007,4.0,0.07500000000000018
5223.0,2020-10-26,18.6,2.1000000000000014,3.0,0.7000000000000005
5223.0,2020-10-30,17.8,0.0,4.0,0.0
5223.0,2020-11-02,19.0,1.1999999999999993,3.0,0.39999999999999974
5223.0,2020-11-04,21.7,2.6999999999999993,2.0,1.3499999999999996
5223.0,2020-11-07,21.2,0.0,3.0,0.0
5223.0,2020-11-11,22.1,0.9000000000000021,4.0,0.22500000000000053
5223.0,2020-11-23,25.0,2.8999999999999986,12.0,0.24166666666666656
5223.0,2020-11-25,26.0,1.0,2.0,0.5
5223.0,2020-11-27,26.6,0.6000000000000014,2.0,0.3000000000000007
5223.0,2020-12-09,27.1,0.5,12.0,0.041666666666666664
5223.0,2020-12-12,28.4,1.2999999999999972,3.0,0.4333333333333324
5253.0,2020-08-25,2.9,2.9,30.0,0.09666666666666666
5253.0,2020-09-01,4.0,1.1,7.0,0.15714285714285717
5253.0,2020-09-04,4.7,0.7000000000000002,3.0,0.2333333333333334
5253.0,2020-09-09,6.3,1.5999999999999996,5.0,0.31999999999999995
5253.0,2020-09-14,8.3,2.000000000000001,5.0,0.4000000000000002
5253.0,2020-09-18,8.8,0.5,4.0,0.125
5253.0,2020-10-03,15.15,6.35,15.0,0.4233333333333333
5253.0,2020-10-07,16.2,1.049999999999999,4.0,0.26249999999999973
5253.0,2020-10-14,20.2,4.0,7.0,0.5714285714285714
5253.0,2020-10-19,21.5,1.3000000000000007,5.0,0.2600000000000001
5258.0,2020-08-25,2.6,2.6,30.0,0.08666666666666667
5258.0,2020-09-01,4.1,1.4999999999999996,7.0,0.21428571428571422
5258.0,2020-09-04,4.8,0.7000000000000002,3.0,0.2333333333333334
5258.0,2020-09-09,6.5,1.7000000000000002,5.0,0.34
5258.0,2020-09-14,8.3,1.8000000000000007,5.0,0.36000000000000015
5258.0,2020-09-18,9.1,0.7999999999999989,4.0,0.19999999999999973
5258.0,2020-10-03,15.9,6.800000000000001,15.0,0.45333333333333337
5258.0,2020-10-07,17.74,1.839999999999998,4.0,0.4599999999999995
5258.0,2020-10-14,20.4,2.66,7.0,0.38
5258.0,2020-10-19,22.5,2.1000000000000014,5.0,0.42000000000000026
5435.0,2020-09-15,1.87,1.87,35.0,0.05342857142857143
5435.0,2020-09-22,3.68,1.81,7.0,0.25857142857142856
5435.0,2020-09-29,6.38,2.6999999999999997,7.0,0.3857142857142857
5435.0,2020-10-06,9.47,3.0900000000000007,7.0,0.44142857142857156
5437.0,2020-09-15,2.38,2.38,34.0,0.06999999999999999
5437.0,2020-09-22,4.28,1.9000000000000004,7.0,0.27142857142857146
5437.0,2020-09-29,6.9,2.62,7.0,0.3742857142857143
5438.0,2020-09-15,1.86,1.86,35.0,0.053142857142857144
5438.0,2020-09-22,3.46,1.5999999999999999,7.0,0.22857142857142856
5438.0,2020-09-29,6.9,3.4400000000000004,7.0,0.4914285714285715
5438.0,2020-10-06,9.69,2.789999999999999,7.0,0.39857142857142847
5439.0,2020-09-15,2.39,2.39,35.0,0.06828571428571428
5439.0,2020-09-22,4.04,1.65,7.0,0.2357142857142857
5439.0,2020-09-29,6.58,2.54,7.0,0.3628571428571429
5439.0,2020-10-06,10.45,3.869999999999999,7.0,0.5528571428571427
5441.0,2020-09-15,2.38,2.38,35.0,0.06799999999999999
5441.0,2020-09-22,4.14,1.7599999999999998,7.0,0.2514285714285714
5441.0,2020-09-29,6.57,2.4300000000000006,7.0,0.34714285714285725
5442.0,2020-09-15,1.85,1.85,35.0,0.05285714285714286
5442.0,2020-09-22,3.61,1.7599999999999998,7.0,0.2514285714285714
5442.0,2020-09-29,6.09,2.48,7.0,0.35428571428571426
5442.0,2020-10-06,9.19,3.0999999999999996,7.0,0.4428571428571428
5487.0,2020-09-04,2.3,2.3,30.0,0.07666666666666666
5487.0,2020-09-09,3.5,1.2000000000000002,5.0,0.24000000000000005
5487.0,2020-09-14,5.0,1.5,5.0,0.3
5487.0,2020-09-18,6.0,1.0,4.0,0.25
5487.0,2020-09-29,9.2,3.1999999999999993,11.0,0.29090909090909084
5487.0,2020-10-03,12.1,2.9000000000000004,4.0,0.7250000000000001
5487.0,2020-10-07,13.47,1.370000000000001,4.0,0.34250000000000025
5487.0,2020-10-14,17.8,4.33,7.0,0.6185714285714285
5487.0,2020-10-19,18.9,1.0999999999999979,5.0,0.21999999999999958
5677.0,2020-10-07,5.5,5.5,40.0,0.1375
5677.0,2020-10-17,8.84,3.34,10.0,0.33399999999999996
5677.0,2020-10-27,14.2,5.359999999999999,10.0,0.5359999999999999
5677.0,2020-11-02,17.54,3.34,6.0,0.5566666666666666
5677.0,2020-11-07,18.5,0.9600000000000009,5.0,0.19200000000000017
5677.0,2020-11-12,22.2,3.6999999999999993,5.0,0.7399999999999999
5677.0,2020-11-17,24.3,2.1000000000000014,5.0,0.42000000000000026
5731.0,2020-09-27,3.7,3.7,30.0,0.12333333333333334
5731.0,2020-10-06,4.9,1.2000000000000002,9.0,0.13333333333333336
5731.0,2020-10-10,5.2,0.2999999999999998,4.0,0.07499999999999996
5731.0,2020-10-16,6.6,1.3999999999999995,6.0,0.23333333333333325
5731.0,2020-10-28,8.4,1.8000000000000007,12.0,0.15000000000000005
5731.0,2020-11-05,11.0,2.5999999999999996,8.0,0.32499999999999996
5731.0,2020-11-15,13.22,2.2200000000000006,10.0,0.22200000000000006
5902.0,2020-11-04,3.04,3.04,30.0,0.10133333333333333
5902.0,2020-11-11,4.66,1.62,7.0,0.23142857142857146
5902.0,2020-11-18,6.69,2.0300000000000002,7.0,0.29000000000000004
5902.0,2020-11-25,8.76,2.0699999999999994,7.0,0.29571428571428565
5902.0,2020-12-02,11.2,2.4399999999999995,7.0,0.3485714285714285
5902.0,2020-12-09,13.18,1.9800000000000004,7.0,0.2828571428571429
5902.0,2020-12-16,15.15,1.9700000000000006,7.0,0.28142857142857153
5902.0,2020-12-23,17.75,2.5999999999999996,7.0,0.3714285714285714
5902.0,2020-12-30,21.74,3.9899999999999984,7.0,0.5699999999999997
5902.0,2021-01-06,23.47,1.7300000000000004,7.0,0.2471428571428572
5902.0,2021-01-20,28.02,4.550000000000001,14.0,0.32500000000000007
5902.0,2021-01-27,31.29,3.2699999999999996,7.0,0.4671428571428571
5902.0,2021-02-03,33.33,2.039999999999999,7.0,0.2914285714285713
5903.0,2020-11-04,3.14,3.14,30.0,0.10466666666666667
5903.0,2020-11-11,5.29,2.15,7.0,0.3071428571428571
5903.0,2020-11-18,7.07,1.7800000000000002,7.0,0.25428571428571434
5903.0,2020-11-25,9.69,2.619999999999999,7.0,0.37428571428571417
5903.0,2020-12-02,12.08,2.3900000000000006,7.0,0.3414285714285715
5903.0,2020-12-09,14.28,2.1999999999999993,7.0,0.31428571428571417
5903.0,2020-12-16,17.54,3.26,7.0,0.4657142857142857
5903.0,2020-12-23,20.68,3.1400000000000006,7.0,0.4485714285714287
5903.0,2020-12-30,22.22,1.5399999999999991,7.0,0.2199999999999999
5903.0,2021-01-06,24.23,2.0100000000000016,7.0,0.28714285714285737
